Sample ID	iCluster
TCGA-XF-AAN1	7
TCGA-XF-AAN2	27
TCGA-XF-AAN3	27
TCGA-XF-AAN4	3
TCGA-XF-AAN5	27
TCGA-XF-AAN7	3
TCGA-XF-AAN8	3
TCGA-YC-A89H	27
TCGA-YC-A8S6	20
TCGA-YC-A9TC	7
TCGA-YF-AA3L	27
TCGA-YF-AA3M	27
TCGA-ZF-A9R0	13
TCGA-ZF-A9R1	10
TCGA-ZF-A9R2	7
TCGA-ZF-A9R3	7
TCGA-ZF-A9R4	13
TCGA-ZF-A9R5	27
TCGA-ZF-A9R7	25
TCGA-ZF-A9R9	18
TCGA-ZF-A9RC	10
TCGA-ZF-A9RD	27
TCGA-ZF-A9RE	10
TCGA-ZF-A9RF	27
TCGA-ZF-A9RL	7
TCGA-ZF-A9RM	8
TCGA-ZF-A9RN	7
TCGA-ZF-AA4N	27
TCGA-ZF-AA4R	17
TCGA-ZF-AA4T	2
TCGA-ZF-AA4U	7
TCGA-ZF-AA4V	27
TCGA-ZF-AA4W	27
TCGA-ZF-AA4X	27
TCGA-ZF-AA51	17
TCGA-ZF-AA52	20
TCGA-ZF-AA53	25
TCGA-ZF-AA54	3
TCGA-ZF-AA56	10
TCGA-ZF-AA58	3
TCGA-ZF-AA5H	27
TCGA-ZF-AA5N	27
TCGA-ZF-AA5P	20
TCGA-FA-8693	21
TCGA-FA-A4BB	14
TCGA-FA-A4XK	21
TCGA-FA-A6HN	3
TCGA-FA-A6HO	3
TCGA-FA-A7DS	21
TCGA-FA-A7Q1	21
TCGA-FA-A82F	21
TCGA-FA-A86F	21
TCGA-FF-8041	21
TCGA-FF-8042	21
TCGA-FF-8043	3
TCGA-FF-8046	21
TCGA-FF-8047	21
TCGA-FF-8061	21
TCGA-FF-8062	21
TCGA-FF-A7CQ	21
TCGA-FF-A7CR	21
TCGA-FF-A7CW	3
TCGA-FF-A7CX	21
TCGA-FM-8000	21
TCGA-G8-6324	3
TCGA-G8-6325	14
TCGA-G8-6326	3
TCGA-G8-6906	21
TCGA-G8-6907	21
TCGA-G8-6909	21
TCGA-G8-6914	14
TCGA-GR-7353	14
TCGA-GR-A4D4	3
TCGA-GR-A4D5	3
TCGA-GR-A4D6	21
TCGA-GR-A4D9	21
TCGA-GS-A9TQ	21
TCGA-GS-A9TT	21
TCGA-GS-A9TU	14
TCGA-GS-A9TV	3
TCGA-GS-A9TW	21
TCGA-GS-A9TX	3
TCGA-GS-A9TY	21
TCGA-GS-A9TZ	14
TCGA-GS-A9U3	14
TCGA-GS-A9U4	3
TCGA-RQ-A68N	21
TCGA-RQ-A6JB	21
TCGA-RQ-AAAT	21
TCGA-VB-A8QN	21
TCGA-2E-A9G8	13
TCGA-4E-A92E	8
TCGA-5B-A90C	13
TCGA-5S-A9Q8	8
TCGA-A5-A1OH	13
TCGA-A5-A2K2	8
TCGA-A5-A2K3	14
TCGA-A5-A2K4	22
TCGA-A5-A2K5	8
TCGA-A5-A2K7	8
TCGA-A5-A3LO	8
TCGA-A5-A3LP	8
TCGA-A5-A7WJ	8
TCGA-A5-A7WK	13
TCGA-A5-AB3J	20
TCGA-AJ-A23N	13
TCGA-AJ-A2QM	22
TCGA-AJ-A2QO	8
TCGA-AJ-A3BD	8
TCGA-AJ-A3BF	8
TCGA-AJ-A3BG	8
TCGA-AJ-A3BH	8
TCGA-AJ-A3BI	8
TCGA-AJ-A3BK	8
TCGA-AJ-A3EJ	22
TCGA-AJ-A3EK	14
TCGA-AJ-A3EL	8
TCGA-AJ-A3EM	8
TCGA-AJ-A3I9	8
TCGA-AJ-A3IA	20
TCGA-AJ-A3NC	8
TCGA-AJ-A3NE	8
TCGA-AJ-A3NF	20
TCGA-AJ-A3NG	8
TCGA-AJ-A3NH	8
TCGA-AJ-A3OJ	8
TCGA-AJ-A3OK	20
TCGA-AJ-A3OL	8
TCGA-AJ-A3QS	2
TCGA-AJ-A3TW	13
TCGA-AJ-A5DV	8
TCGA-AJ-A5DW	8
TCGA-AJ-A6NU	20
TCGA-AJ-A8CT	20
TCGA-AJ-A8CV	8
TCGA-AJ-A8CW	8
TCGA-AP-A3K1	8
TCGA-AP-A5FX	8
TCGA-AX-A05W	8
TCGA-AX-A1C7	13
TCGA-AX-A2H4	27
TCGA-AX-A2HH	8
TCGA-AX-A2IN	8
TCGA-AX-A3FS	8
TCGA-AX-A3FT	8
TCGA-AX-A3FV	13
TCGA-AX-A3FW	8
TCGA-AX-A3FX	8
TCGA-AX-A3FZ	5
TCGA-AX-A3G1	8
TCGA-AX-A3G4	13
TCGA-AX-A3G6	8
TCGA-AX-A3G7	8
TCGA-AX-A3G8	8
TCGA-AX-A3G9	8
TCGA-AX-A3GB	8
TCGA-AX-A3GI	13
TCGA-B5-A0JN	2
TCGA-B5-A0JR	8
TCGA-B5-A0K9	8
TCGA-B5-A11R	8
TCGA-B5-A1MS	13
TCGA-B5-A1MW	8
TCGA-B5-A3F9	8
TCGA-B5-A3FA	8
TCGA-B5-A3FB	8
TCGA-B5-A3FC	8
TCGA-B5-A3FD	22
TCGA-B5-A3FH	8
TCGA-B5-A3S1	8
TCGA-B5-A5OC	20
TCGA-B5-A5OD	13
TCGA-B5-A5OE	13
TCGA-BG-A0MK	8
TCGA-BG-A3EW	8
TCGA-BG-A3PP	13
TCGA-BK-A13B	8
TCGA-BK-A4ZD	8
TCGA-BK-A56F	8
TCGA-BK-A6W3	8
TCGA-BK-A6W4	20
TCGA-BS-A0V4	8
TCGA-BS-A0V7	8
TCGA-D1-A2G0	8
TCGA-D1-A3DA	8
TCGA-D1-A3DG	22
TCGA-D1-A3DH	13
TCGA-D1-A3JQ	13
TCGA-DF-A2KN	8
TCGA-DF-A2KR	13
TCGA-DF-A2KU	8
TCGA-DF-A2KV	8
TCGA-DF-A2KY	8
TCGA-DF-A2KZ	8
TCGA-DF-A2L0	8
TCGA-DI-A1BU	8
TCGA-DI-A1C3	8
TCGA-DI-A2QT	2
TCGA-DI-A2QY	13
TCGA-E6-A2P8	20
TCGA-E6-A2P9	8
TCGA-E6-A8L9	22
TCGA-EO-A1Y7	8
TCGA-EO-A22U	8
TCGA-EO-A22X	13
TCGA-EO-A22Y	8
TCGA-EO-A3AS	13
TCGA-EO-A3AU	8
TCGA-EO-A3AV	8
TCGA-EO-A3AY	8
TCGA-EO-A3AZ	3
TCGA-EO-A3B0	8
TCGA-EO-A3B1	8
TCGA-EO-A3KU	8
TCGA-EO-A3KW	8
TCGA-EO-A3KX	8
TCGA-EO-A3L0	8
TCGA-EY-A1GL	8
TCGA-EY-A1GO	22
TCGA-EY-A1GP	22
TCGA-EY-A1GX	8
TCGA-EY-A210	8
TCGA-EY-A2ON	8
TCGA-EY-A2OO	8
TCGA-EY-A2OP	8
TCGA-EY-A2OQ	13
TCGA-EY-A3L3	13
TCGA-EY-A3QX	2
TCGA-EY-A4KR	13
TCGA-EY-A547	17
TCGA-EY-A548	8
TCGA-EY-A549	8
